rating,date
5,2024-04-21
2,2024-04-12
5,2023-10-30
4,2024-05-23
5,2024-09-27
5,2024-08-16
5,2024-01-10
5,2023-10-30
4,2023-08-20
5,2023-09-28
5,2024-10-15
4,2024-10-25
5,2023-11-08
5,2024-11-17
4,2024-11-01
4,2023-08-11
5,2024-10-22
3,2024-04-10
5,2023-07-30
3,2023-08-27
1,2023-06-28
2,2023-01-17
5,2024-05-02
5,2024-11-05
2,2023-04-21
2,2023-03-09
4,2024-06-27
4,2024-10-28
4,2024-03-01
4,2024-04-30
2,2024-07-23
4,2024-11-12
5,2023-08-06
5,2023-08-20
5,2023-01-30
5,2024-11-04
2,2024-04-09
5,2023-02-23
1,2024-03-10
4,2023-10-18
4,2023-01-08
5,2024-05-24
4,2024-11-15
4,2024-08-12
4,2023-06-25
2,2024-02-15
5,2023-03-20
4,2023-08-30
3,2024-11-02
4,2024-08-01
4,2024-03-28
5,2023-02-08
2,2024-01-29
4,2023-11-26
5,2023-12-18
1,2024-09-16
4,2023-02-23
4,2023-06-03
5,2023-11-14
5,2024-06-04
3,2023-12-16
3,2023-04-14
1,2023-06-16
5,2024-03-30
3,2023-11-13
4,2023-10-16
5,2023-05-22
5,2024-06-12
4,2023-04-04
5,2024-01-31
4,2023-05-21
5,2023-01-06
5,2023-04-24
1,2023-04-24
5,2023-10-26
3,2023-07-11
5,2024-06-03
1,2023-03-11
5,2023-12-13
5,2023-03-06
1,2023-02-12
4,2023-02-07
5,2024-02-14
4,2024-01-12
5,2023-07-04
2,2024-03-12
4,2024-03-21
2,2024-11-26
5,2024-10-22
1,2024-01-16
2,2023-04-27
4,2023-08-08
3,2023-03-17
5,2023-03-08
5,2024-06-04
5,2024-01-13
2,2024-02-25
2,2024-11-27
5,2023-02-26
3,2023-08-19
5,2023-10-09
4,2024-08-17
5,2024-07-31
2,2024-08-08
4,2023-09-08
2,2024-05-10
2,2023-05-14
4,2023-04-10
5,2023-06-13
3,2024-05-25
4,2023-09-04
1,2024-10-31
1,2024-02-17
5,2023-03-17
4,2024-01-18
5,2024-05-27
5,2023-06-02
4,2024-08-30
4,2023-12-06
5,2023-09-29
5,2023-06-24
5,2023-09-06
3,2023-11-18
4,2023-03-05
4,2023-11-18
4,2023-07-16
3,2023-10-23
4,2023-10-08
4,2023-05-30
4,2023-08-08
5,2023-09-03
3,2023-02-23
2,2023-06-11
4,2023-04-02
5,2023-06-29
5,2023-07-10
5,2023-04-20
4,2023-07-17
5,2024-08-04
5,2024-06-11
3,2024-05-03
3,2024-04-02
5,2023-03-05
3,2024-05-29
5,2023-08-13
5,2024-07-16
5,2023-03-25
2,2024-07-03
4,2024-05-15
5,2024-04-12
5,2024-08-15
5,2023-03-12
3,2024-10-18
4,2024-01-22
2,2023-05-11
5,2024-07-11
3,2023-06-08
1,2023-01-17
5,2023-02-19
4,2023-02-27
3,2024-08-12
3,2024-11-07
4,2023-06-29
4,2023-11-23
4,2023-08-19
5,2024-03-02
3,2023-12-05
5,2023-07-15
5,2023-08-11
4,2023-05-01
5,2024-02-11
4,2024-05-24
5,2024-07-30
3,2024-08-16
3,2024-01-24
4,2024-04-16
3,2024-07-13
5,2023-01-07
2,2023-03-03
5,2024-02-26
4,2024-11-21
2,2024-06-23
5,2024-04-15
4,2024-10-27
4,2023-06-25
5,2023-04-08
3,2024-08-03
5,2023-02-03
1,2023-11-03
5,2023-03-22
1,2023-12-15
4,2024-05-17
4,2023-03-29
5,2024-02-03
1,2023-10-04
4,2023-04-16
2,2023-01-13
5,2023-06-23
3,2024-05-19
4,2024-01-05
5,2024-02-10
5,2023-05-20
4,2023-10-26
5,2024-01-09
5,2024-07-17
5,2023-03-12
5,2024-03-09
4,2024-03-04
5,2023-03-29
3,2023-02-15
5,2023-08-16
5,2024-02-05
5,2024-05-09
2,2024-06-17
4,2023-04-28
5,2024-07-19
5,2023-07-10
1,2024-03-15
3,2023-03-06
3,2023-07-21
4,2024-09-17
4,2024-09-21
4,2024-06-07
5,2024-07-04
4,2024-09-26
4,2024-06-01
4,2023-03-26
4,2023-06-22
4,2024-07-09
4,2024-10-31
4,2023-05-01
5,2023-06-19
5,2024-06-29
4,2024-11-26
5,2023-05-16
5,2024-08-14
4,2023-10-12
4,2023-04-06
5,2024-05-21
4,2024-05-11
1,2024-04-12
3,2023-05-16
2,2024-02-10
4,2023-05-16
1,2024-03-08
3,2023-04-15
2,2024-10-27
5,2024-03-29
2,2023-12-26
3,2023-03-28
5,2024-11-05
4,2024-05-21
5,2023-01-13
4,2024-07-13
5,2023-09-26
5,2024-03-01
5,2023-03-22
4,2024-10-27
5,2023-04-29
4,2023-01-12
4,2023-05-01
4,2024-08-13
4,2023-06-20
5,2023-02-15
4,2023-02-06
3,2024-03-02
5,2023-02-23
5,2023-10-17
4,2023-09-06
5,2024-07-13
1,2023-01-10
5,2024-03-05
5,2024-06-16
4,2024-06-01
2,2023-05-14
5,2023-03-18
2,2023-11-18
5,2023-04-03
5,2023-04-04
4,2024-02-19
3,2023-04-15
5,2024-10-07
3,2023-01-23
5,2023-06-22
4,2023-10-09
1,2024-02-26
4,2024-10-07
5,2024-05-11
4,2023-01-31
4,2023-06-13
3,2023-02-27
4,2024-01-03
5,2023-07-12
4,2024-06-23
3,2023-12-15
1,2023-05-26
5,2023-12-11
5,2023-06-28
5,2024-01-23
2,2024-08-04
5,2023-04-17
3,2023-06-21
5,2023-09-29
4,2023-02-19
5,2023-12-26
5,2023-10-29
2,2023-04-06
5,2024-10-31
3,2023-12-06
5,2023-09-01
4,2023-03-31
4,2023-03-25
5,2023-09-29
3,2024-01-14
4,2024-07-31
2,2024-08-26
5,2024-05-01
4,2024-06-13
2,2023-06-21
1,2023-09-22
2,2023-10-10
5,2024-03-05
4,2024-07-30
5,2024-09-15
4,2024-02-16
5,2024-01-17
4,2023-04-11
5,2024-09-11
3,2024-05-11
4,2023-05-19
3,2023-03-01
5,2024-02-11
3,2024-08-31
5,2023-10-19
5,2024-10-24
5,2024-11-29
5,2024-10-20
5,2024-09-30
4,2024-08-31
4,2023-10-11
3,2023-09-04
4,2024-11-02
5,2024-08-20
4,2024-10-15
4,2024-07-25
2,2023-07-07
3,2023-11-11
4,2023-05-01
5,2023-07-19
4,2023-06-04
4,2023-03-24
4,2023-08-03
4,2024-02-18
1,2023-01-15
3,2023-01-05
5,2024-08-25
4,2024-09-02
4,2023-06-18
5,2024-08-26
5,2024-07-01
5,2024-03-30
4,2024-10-07
5,2023-05-21
4,2023-07-23
5,2023-10-30
5,2024-11-18
5,2023-03-18
5,2023-06-28
5,2023-04-08
5,2023-10-02
3,2024-02-14
5,2023-06-20
5,2024-08-05
4,2024-05-09
